Dataset	Training Type	95% CI AUROC	95% CI AUPRC
Drugmatrix	SMA (classifier)	(0.8127, 0.8209)	(0.4165, 0.4315)
Drugmatrix	STD (classifier)	(0.7159, 0.7246)	(0.167, 0.1711)
Drugmatrix	SMA scrambled (classifier)	(0.5607, 0.5684)	(0.082, 0.087)
Drugmatrix	STD scrambled (classifier)	(0.5976, 0.6163)	(0.1019, 0.113)
Test	SMA (classifier)	(0.8998, 0.9023)	(0.9821, 0.9826)
Test	STD (classifier)	(0.9027, 0.9061)	(0.9826, 0.9828)
Test	SMA scrambled (classifier)	(0.7323, 0.7385)	(0.9396, 0.9417)
Test	STD scrambled (classifier)	(0.7367, 0.7434)	(0.94, 0.9439)
Time Split	SMA (classifier)	(0.6995, 0.7024)	(0.9341, 0.9351)
Time Split	STD (classifier)	(0.7275, 0.7353)	(0.9388, 0.9405)
Time Split	SMA scrambled (classifier)	(0.6553, 0.6605)	(0.9124, 0.9163)
Time Split	STD scrambled (classifier)	(0.6878, 0.7033)	(0.9235, 0.9283)
Train	SMA (classifier)	(0.9632, 0.9672)	(0.994, 0.9947)
Train	STD (classifier)	(0.9577, 0.9634)	(0.9932, 0.9942)
Train	SMA scrambled (classifier)	(0.7454, 0.7491)	(0.9419, 0.9447)
Train	STD scrambled (classifier)	(0.8066, 0.8258)	(0.964, 0.969)
