Dataset	Training Type	95% CI AUROC	95% CI AUPRC	95% CI R2
Drugmatrix	NEG_RM	(0.6053, 0.6187)	(0.1017, 0.1061)	(0.1819, 0.2128)
Drugmatrix	NEG_RM SMA	(0.7802, 0.7894)	(0.443, 0.4537)	(0.4101, 0.4414)
Drugmatrix	NEG_UW	(0.6969, 0.7079)	(0.1599, 0.1741)	(0.2009, 0.2346)
Drugmatrix	SEA_SMA	(0.7813, 0.7902)	(0.4468, 0.4588)	(0.4263, 0.4559)
Drugmatrix	STD	(0.6804, 0.6968)	(0.1422, 0.1557)	(0.1763, 0.2089)
Drugmatrix	STD_SMA	(0.7782, 0.7885)	(0.4336, 0.4475)	(0.403, 0.4507)
Drugmatrix	SMA scrambled	(0.4724, 0.4959)	(0.0661, 0.0714)	(0.0, 0.0041)
Drugmatrix	STD scrambled	(0.5452, 0.5625)	(0.0775, 0.0856)	(0.0073, 0.0234)
Test	NEG_RM	(0.8341, 0.8383)	(0.9696, 0.9712)	(0.6022, 0.6047)
Test	NEG_RM SMA	(0.8774, 0.8824)	(0.9792, 0.9799)	(0.5955, 0.6098)
Test	NEG_UW	(0.9004, 0.9033)	(0.9832, 0.9838)	(0.6218, 0.6318)
Test	SEA_SMA	(0.9049, 0.9092)	(0.9846, 0.9851)	(0.6403, 0.652)
Test	STD	(0.9023, 0.905)	(0.9833, 0.984)	(0.6334, 0.6406)
Test	STD_SMA	(0.9041, 0.9088)	(0.9846, 0.985)	(0.6377, 0.6478)
Test	SMA scrambled	(0.4654, 0.4746)	(0.8674, 0.8696)	(0.0005, 0.0012)
Test	STD scrambled	(0.6572, 0.6597)	(0.9184, 0.9217)	(0.0718, 0.0764)
Time Split	NEG_RM	(0.7179, 0.7267)	(0.9377, 0.9393)	(0.2314, 0.239)
Time Split	NEG_RM SMA	(0.7069, 0.7113)	(0.9379, 0.9391)	(0.1758, 0.179)
Time Split	NEG_UW	(0.7386, 0.745)	(0.9434, 0.9454)	(0.2123, 0.2235)
Time Split	SEA_SMA	(0.7139, 0.7161)	(0.9401, 0.9409)	(0.1859, 0.1897)
Time Split	STD	(0.7367, 0.7409)	(0.9427, 0.9441)	(0.2124, 0.2181)
Time Split	STD_SMA	(0.7111, 0.7154)	(0.9396, 0.9406)	(0.1853, 0.1873)
Time Split	SMA scrambled	(0.4571, 0.4757)	(0.8512, 0.8568)	(0.0007, 0.0034)
Time Split	STD scrambled	(0.6311, 0.6368)	(0.9049, 0.9065)	(0.0485, 0.0541)
Train	NEG_RM	(0.8212, 0.8234)	(0.9682, 0.9686)	(0.7827, 0.7857)
Train	NEG_RM SMA	(0.9103, 0.9151)	(0.9844, 0.9852)	(0.7762, 0.7988)
Train	NEG_UW	(0.9656, 0.9727)	(0.9948, 0.996)	(0.857, 0.8855)
Train	SEA_SMA	(0.9757, 0.9784)	(0.9963, 0.9967)	(0.9004, 0.9125)
Train	STD	(0.9786, 0.9832)	(0.9968, 0.9975)	(0.9141, 0.9307)
Train	STD_SMA	(0.9727, 0.9772)	(0.9958, 0.9965)	(0.8884, 0.9059)
Train	SMA scrambled	(0.9683, 0.9766)	(0.9952, 0.9965)	(0.8428, 0.8808)
Train	STD scrambled	(0.9812, 0.9816)	(0.9972, 0.9973)	(0.9198, 0.9226)
